"","city_stat","city_lat","city_long","tot_stat","LAT","LOG","DISTN","ID"
"1","VANCOUVERINTL",49.194,-123.184,"BC_VANCOUVER",49.2,-123.1833,0.669105573769273,"CA001108395"
"2","PRINCEGEORGE",53.889,-122.679,"BC_PRINCE",53.8833,-122.6833,0.693638041466474,"CA001096439"
"3","EDMONTONINTL",53.31,-113.58,"AB_EDMONTON",53.3167,-113.5833,0.77659125336128,"CA003012205"
"4","CALGARYINTL",51.114,-114.02,"AB_CALGARY",51.1167,-114.0167,0.378413914651072,"CA003031092"
"5","SASKATOONJGDIEFENBAKERINT",52.167,-106.7,"SK_SASKATOON",52.1667,-106.6833,1.13947812180963,"CA004057170"
"6","WINNIPEGINTL",49.91,-97.24,"MB_WINNIPEG",49.9167,-97.2333,0.886108046758073,"CA005023222"
"7","YELLOWKNIFE",62.463,-114.44,"NT_YELLOWKNIFE",62.4667,-114.4333,0.536550322965573,"CA002204100"
"8","THUNDERBAYA",48.367,-89.333,"ON_THUNDER",48.3667,-89.3333,0.0400492467888376,"CA006048261"
"9","TORONTOCITYCENTRE",43.617,-79.383,"ON_TORONTO",43.6167,-79.4,1.36893509860835,"CA006158660"
"10","MONTREAL/TRUDEAUINT",45.467,-73.733,"QC_MONTREAL",45.4706,-73.7408,0.728154634493044,"CA007025251"
"11","BAGOTVILLE",48.331,-70.996,"QC_BAGOTVILLE",48.3333,-71,0.390950749974764,"CA007060400"
"12","HALIFAXINTL",44.881,-63.509,"NS_HALIFAX",44.8833,-63.5167,0.658373052033704,"CA008202251"
"13","STJOHNSINTL",47.619,-52.752,"NL_ST.",47.6167,-52.75,0.296444378074336,"CA008403505"
"14","GENELLOGANINTERNATIONALA",42.361,-71.01,"MA_BOSTON",42.3606,-71.0106,0.066397351635816,"USW00014739"
"15","JOHNFKENNEDYINTERNATIONAL",40.639,-73.764,"NY_NEW",40.6386,-73.7622,0.158259273329837,"USW00094789"
"16","WASHINGTONDULLESINTERNATION",38.935,-77.447,"VA_WASHINGTON",38.9408,-77.4636,1.57394108475519,"USW00093738"
"17","RALEIGH-DURHAMINTERNATIONAL",35.892,-78.782,"NC_RALEIGH",35.8922,-78.7819,0.0239941503893761,"USW00013722"
"18","HARTSFIELD-JACKSONATLANTAIN",33.63,-84.442,"GA_ATLANTA",33.63,-84.4417,0.0277753152800622,"USW00013874"
"19","MIAMIINTERNATIONALAIRPORT",25.788,-80.317,"FL_MIAMI",25.7906,-80.3164,0.295281875988872,"USW00012839"
"20","LOUISARMSTRONGNEWORLEANSI",29.998,-90.278,"LA_NEW",29.9933,-90.2511,2.64271083228184,"USW00012916"
"21","DALLAS/FTWORTHINTERNATIONAL",32.897,-97.022,"TX_DALLAS",32.8978,-97.0189,0.302790909595204,"USW00003927"
"22","NASHVILLEINTERNATIONALAIRPO",36.111,-86.688,"TN_NASHVILLE",36.1167,-86.6833,0.76155391303356,"USW00003839"
"23","CLEVELAND-HOPKINSINTERNATION",41.406,-81.852,"OH_CLEVELAND",41.4131,-81.86,1.03363492629976,"USW00014820"
"24","CHICAGOMIDWAYINTLARPT",41.784,-87.755,"IL_CHICAGO",41.7861,-87.7522,0.329275779517286,"USW00014819"
"25","MINNEAPOLIS-STPAULINTERNATI",44.885,-93.231,"MN_MINNEAPOLIS/ST",44.8831,-93.2289,0.268344588738301,"USW00014922"
"26","BISMARCKMUNICIPALAIRPORT",46.782,-100.758,"ND_BISMARCK",46.7717,-100.7592,1.14894748936106,"USC00320818"
"27","KANSASCITYINTERNATIONALAIR",39.297,-94.731,"MO_KANSAS",39.2972,-94.7306,0.0409795963456306,"USW00003947"
"28","CITYOFCOLORADOSPRINGSMUNI",38.809,-104.689,"CO_COLORADO",38.81,-104.6883,0.126661262019467,"USW00093037"
"29","HELENAREGIONALAIRPORT",46.604,-111.989,"MT_SETH",46.6083,-111.9658,1.83565827717544,"USR0000MSET"
"30","ALBUQUERQUEINTLSUNPORTAIRP",35.042,-106.615,"NM_ALBUQUERQUE",35.0419,-106.6156,0.0557435900320656,"USW00023050"
"31","PHOENIXSKYHARBORINTLAIRPO",33.428,-112.004,"AZ_PHOENIX",33.4278,-112.0039,0.0240975679142781,"USW00023183"
"32","LOSANGELESINTERNATIONALAIR",33.938,-118.387,"CA_LOS",33.9381,-118.3889,0.175631052347075,"USW00023174"
"33","SANFRANCISCOINTERNATIONALA",37.62,-122.366,"CA_SAN",37.6197,-122.3647,0.119258077266621,"USW00023234"
"34","SALTLAKECITYINTERNATIONAL",40.771,-111.965,"UT_SALT",40.7781,-111.9694,0.872101393585687,"USW00024127"
"35","RENO/TAHOEINTERNATIONALAIRP",39.508,-119.768,"NV_UNIV",39.5167,-119.7833,1.6305085993885,"USC00268500"
"36","BOISEAIRTERMINAL/GOWENFDA",43.567,-116.241,"ID_BOISE",43.5667,-116.2406,0.0463831401123265,"USW00024131"
"37","PORTLANDINTERNATIONALAIRPOR",45.596,-122.609,"OR_PORTLAND",45.5908,-122.6003,0.890262102640382,"USW00024229"
"38","TEDSTEVENSANCHORAGEINTL",61.169,-150.028,"AK_ANCHORAGE",61.1689,-150.0278,0.0154484023909464,"USW00026451"
"39","NOMEAIRPORT",64.511,-165.44,"AK_NOME",64.5111,-165.44,0.0111194926645684,"USW00026617"
"40","HONOLULUINTERNATIONALAIRPOR",21.324,-157.939,"HI_HONOLULU",21.3239,-157.9294,0.994453636991275,"USW00022521"
"41","GENERALIGNACIOPGARCIAINTL",29.096,-111.048,"GENERAL_IGNACIO",29.096,-111.048,0,"MXM00076160"
"42","DELNORTEINTL",25.866,-100.237,"SALINAS_VICTORIA",25.95,-100.2833,10.4253454945856,"MXN00019134"
"43","CABOSANLUCAS",22.948,-109.939,"CABO_SAN",22.8667,-109.9,9.88337377687941,"MXN00003005"
"44","DONMIGUELHIDALGOYCOSTILLA",20.522,-103.311,"TLAQUEPAQUE_",20.6333,-103.3,12.4288584410003,"MXN00014132"
"45","LICENCIADOBENITOJUAREZINTL",19.436,-99.072,"SAN_JUAN",19.45,-99.0667,1.65294757186029,"MXN00009043"
"46","LICENCIADOMANUELCRESCENCIO",20.937,-89.658,"AEROP.INTERNACIONAL_GSN",20.983,-89.65,5.18198244390875,"MXM00076644"
"47","TONCONTININTL",14.061,-87.217,"TEGUCIGALPA_78720",14.05,-87.217,1.22314419308996,"HO000078720"
"48","TOCUMENINTL",9.071,-79.383,"ANTONIO_ROLDAN",7.812,-76.716,325.030985052539,"COM00080084"
"49","JOSEMARTIINTL",22.989,-82.409,"CASA_BLANCA",23.167,-82.35,20.6924574241686,"CUM00078325"
"50","NORMANMANLEYINTL",17.936,-76.788,"NORMAN_MANLEY",17.936,-76.788,0,"JMM00078397"
"51","NAVALATLANTICMETEROLOGY&O",32.367,-64.683,"L_F",32.3667,-64.6833,0.0436653814201681,"BDM00078016"
"52","GEORGETOWN",6.499,-58.254,"GEORGETOWN_81002",6.5,-58.25,0.455695638952299,"GYW00010502"
"53","SIMONBOLIVARINTL",10.603,-66.991,"SIMON_BOLIVAR",10.603,-66.991,0,"VEM00080415"
"54","ELDORADOINTL",4.702,-74.147,"BOGOTA/ELDORADO_GSN",4.701,-74.15,0.350564579379152,"CO000080222"
"55","JOSEMARIACORDOVA",6.165,-75.423,"JOSE_MARIA",6.165,-75.423,0,"COM00080112"
"56","SIMONBOLIVARINTL",-2.157,-79.884,"ISABEL_MARIA",-1.83,-79.56,51.1711375139706,"EC000000036"
"57","JORGECHAVEZINTL",-12.022,-77.114,"FOZ_DO",-9.4,-72.7,563.499683414816,"BR000972000"
"58","ELALTOINTL",-16.513,-68.192,"EL_ALTO",-16.513,-68.192,0,"BLM00085201"
"59","SILVIOPETTIROSSIINTL",-25.24,-57.519,"FORMOSA_87162",-26.213,-58.228,129.420401737144,"ARM00087162"
"60","CERROMORENOINTL",-23.444,-70.445,"ANTOFAGASTA_GSN",-23.433,-70.45,1.32524847797978,"CI000085442"
"61","ARTUROMERINOBENITEZINTL",-33.393,-70.786,"ARTURO_MERINO",-33.393,-70.786,0,"CIM00085574"
"62","PICHOY",-39.65,-73.086,"PICHOY_85766",-39.65,-73.086,0,"CIM00085766"
"63","CARLOSIBANEZDELCAMPOINTL",-53.003,-70.855,"PUNTA_ARENAS",-53,-70.967,7.50206212439657,"CI000085934"
"64","ALMIRANTEZAR",-43.211,-65.27,"TRELEW_AERO",-43.2,-65.266,1.26538063410659,"AR000087828"
"65","COMANDANTEESPORA",-38.725,-62.169,"BAHIA_BLANCA",-38.733,-62.167,0.906319216625001,"AR000877500"
"66","AEROPARQUEJORGENEWBERY",-34.559,-58.416,"AEROPARQUE_JORGE",-34.559,-58.416,0,"ARM00087582"
"67","AMBROSIOLVTARAVELLA",-31.324,-64.208,"CORDOBA_AERO",-31.317,-64.217,1.15617251053509,"AR000087344"
"68","SALGADOFILHO",-29.994,-51.171,"CANOAS_83967",-29.946,-51.144,5.93730972424204,"BRM00083967"
"69","GALEAOANTONIOCARLOSJOBIM",-22.809,-43.244,"GALEAO_ANTONIO",-22.809,-43.244,0,"BRM00083746"
"70","PRESIDENTEJUSCELINOKUBITSCH",-15.863,-47.913,"BRASILIA_83377",-15.783,-47.933,9.14929608556327,"BRM00083377"
"71","MARECHALRONDON",-15.653,-56.117,"SANTA_EDWIGES",-15.7,-56.13,5.40830578908856,"BR001556007"
"72","DEPUTADOLUISEDUARDOMAGALHA",-12.911,-38.331,"JOANES_",-12.85,-38.32,6.88689634458165,"BR001238020"
"73","PINTOMARTINSINTL",-3.776,-38.533,"FORTALEZA_(ESCOLA",-3.75,-38.53,2.91016738631792,"BR028725940"
"74","VALDECANSINTL",-1.379,-48.476,"VAL_DE",-1.379,-48.476,0,"BRM00082193"
"75","EDUARDOGOMESINTL",-3.039,-60.05,"MANAUS_GSN",-3.133,-60.017,11.0759544672712,"BRM00082331"
"76","NUUK(GODTHAAB)",64.167,-51.75,"NUUK_GSN",64.1667,-51.75,0.0333584779922904,"GL000004250"
"77","REYKJAVIK",64.13,-21.941,"REYKJAVIK_GSN",64.1269,-21.9025,1.89957551125219,"IC000004030"
"78","TROMSO",69.683,18.919,"ENONTEKIO_KILPISJARVI",69.05,20.783,101.426240661639,"FIM00002801"
"79","GARDERMOEN",60.194,11.1,"HOGSATER_",59.88,11.97,59.6102713768638,"SWE00139164"
"80","BROMMA",59.354,17.942,"STOCKHOLM-BROMMA_",59.3533,17.9514,0.538449748575758,"SWE00138894"
"81","ROVANIEMI",66.565,25.83,"ROVANIEMI_LENTOASEMA",66.5581,25.8353,0.802256453744583,"FIE00146207"
"82","HELSINKIVANTAA",60.317,24.963,"VANTAA_HELSINKI-VANTAAN",60.3269,24.9603,1.11082084741115,"FIE00142080"
"83","VILNIUSINTL",54.634,25.286,"VILNIUS_GSN",54.6331,25.1,11.9713827235716,"LH000026730"
"84","KASTRUP",55.618,12.656,"KOEBENHAVN:_BOTANISK",55.6831,12.5831,8.56268297696053,"DA000030370"
"85","DYCE",57.202,-2.198,"DYCE_",57.205,-2.2039,0.487396435273139,"UKE00105881"
"86","ALDERGROVE",54.658,-6.216,"ALDERGROVE_03917",54.658,-6.216,0,"UKM00003917"
"87","HEATHROW",51.478,-0.461,"HEATHROW_03772",51.478,-0.461,0,"UKM00003772"
"88","SCHIPHOL",52.309,4.764,"HOOFDDORP_",52.3167,4.7,4.43410307662589,"NLE00100503"
"89","ORLY",48.725,2.359,"ORLY_07149",48.7167,2.3842,2.06620897857911,"FRM00007149"
"90","MERIGNAC",44.828,-0.716,"MONT_DE",43.912,-0.508,103.187564262232,"FRM00007607"
"91","BARAJAS",40.494,-3.567,"MADRID/BARAJAS_08221",40.4667,-3.5556,3.18506823673273,"SPE00120278"
"92","LISBOA",38.781,-9.136,"BADAJOZ/TALAVERA_LA",38.8831,-6.8292,200.130614480123,"SP000004452"
"93","FRANKFURTMAIN",50.026,8.543,"RHEIN_MAIN",50.0333,8.5833,2.99091045894049,"GMW00035032"
"94","BERNBELP",46.914,7.497,"PAYERNE_06610",46.8167,6.95,42.9702949835941,"SZE00116090"
"95","SCHWECHAT",48.11,16.57,"WIEN_GSN",48.2331,16.35,21.2960470818139,"AU000005901"
"96","VENEZIATESSERA",45.505,12.352,"ISTRANA_16098",45.685,12.083,28.959597945449,"ITM00016098"
"97","ELMAS",39.251,9.054,"CAGLIARI_16560",39.2331,9.05,2.01997794102538,"IT000016560"
"98","OKECIE",52.166,20.967,"VYSOKOJE_33001",52.367,23.383,165.913285387892,"BOM00033001"
"99","FERIHEGY",47.437,19.256,"BUDAPEST/PESTSZENTLORINC_12843",47.433,19.183,5.50869193068854,"HUM00012843"
"100","BEOGRAD",44.818,20.309,"TUZLA_14557",44.55,18.7,130.647678934243,"BKM00014557"
"101","TIRANARINAS",41.415,19.721,"TIRANA_RINAS",41.415,19.721,0,"ALM00013615"
"102","NIKOSKAZANTZAKIS",35.34,25.18,"HERAKLION_16754",35.3331,25.1831,0.81715222110268,"GR000016754"
"103","SOFIA",42.695,23.406,"SOFIA_15614",42.695,23.406,0,"BUM00015614"
"104","HENRICOANDA",44.571,26.085,"VARNA_15552",43.232,27.825,203.957833073379,"BUM00015552"
"105","LUQA",35.857,14.478,"LUQA_GSN",35.85,14.4831,0.90394679835749,"MT000016597"
"106","PULKOVO",59.8,30.263,"ST._PETERSBURG",59.9667,30.3,18.6507917650626,"RSM00026063"
"107","SHEREMETYEVO",55.973,37.415,"MOSCOW_GSN",55.8331,37.6167,20.0018715106714,"RSM00027612"
"108","ZHULIANYINTL",50.402,30.451,"KIEV_33345",50.4,30.5331,5.82323458907805,"UPM00033345"
"109","ODESAINTL",46.427,30.676,"ODESA_33837",46.48,30.63,6.86653948241527,"UPM00033837"
"110","CHERTOVITSKOYE",51.814,39.23,"VORONEZ_GSN",51.7,39.2167,12.7092331887928,"RSM00034123"
"111","ELISTA",46.367,44.333,"ELISTA_34861",46.32,44.3,5.80771198915515,"RSM00034861"
"112","GUMRAK",48.783,44.346,"VOLGOGRAD_34560",48.8,44.7,26.0011705767121,"RSM00034560"
"113","ORENBURG",51.796,55.457,"ORENBURG_35121",51.6831,55.1,27.6016931564586,"RSM00035121"
"114","TALAGI",64.6,40.717,"ARHANGELSK_GSN",64.5,40.7331,11.1460732258054,"RSM00022550"
"115","MURMANSK",68.782,32.751,"KOLA-IN-MURMAN_22112",68.883,33.017,15.4983614829816,"RSM00022112"
"116","KAZAN",55.606,49.279,"KAZAN_GSN",55.7331,49.2,14.9760184228279,"RSM00027595"
"117","KOLTSOVO",56.743,60.803,"EKATERINBURG_28440",56.8331,60.6331,14.4031875492897,"RSM00028440"
"118","SURGUT",61.344,73.402,"SURGUT_23849",61.25,73.5,11.689353354234,"RSM00023849"
"119","VORKUTA",67.483,64.017,"VORKUTA_23226",67.483,64.016,0.0425829351326045,"RSM00023226"
"120","OMSKRS",54.967,73.311,"OMSK_GSN",55.0167,73.3831,7.18994384010991,"RSM00028698"
"121","TOLMACHEVO",55.013,82.651,"NOVOSIBIRSK_29634",55.083,82.9,17.6687550569199,"RSM00029634"
"122","NORIL'SK",69.333,88.25,"DUDINKA_GSN",69.4,86.17,81.8382089948975,"RSM00023074"
"123","YAKUTSK",62.093,129.771,"JAKUTSK_GSN",62.0167,129.7167,8.94356213407521,"RSM00024959"
"124","NOVOKUZNETSK",53.733,87.183,"NOVOKUZNETSK_29846",53.8,86.9,20.0366451764026,"RSM00029846"
"125","IRKUTSK",52.268,104.389,"IRKUTSK_GSN",52.2667,104.35,2.65783815591579,"RSM00030710"
"126","KADALA",52.026,113.306,"CHITA_GSN",52.0831,113.4831,13.6728019645699,"RSM00030758"
"127","NOVY",48.528,135.188,"HABAROVSK_31735",48.5167,135.1167,5.39930510347405,"RSM00031735"
"128","SOKOL",59.911,150.72,"MAGADAN_25913",59.55,150.7831,40.2968684345271,"RSM00025913"
"129","YELIZOVO",53.168,158.454,"SOSNOVKA-1_32547",53.1,158.3,12.7560509102185,"RSM00032547"
"130","KHOMUTOVO",46.889,142.718,"JUZHNO-SAHALINSK_GSN",46.95,142.72,6.78459113248816,"RSM00032150"
"131","ASTANAINTL",51.022,71.467,"ASTANA_35188",51.1331,71.3667,14.2025686120269,"KZ000035188"
"132","AKTAU",43.86,51.092,"AKTAU_38111",43.7,51.1,17.8027773449343,"KZ000038111"
"133","KZYL-ORDA",44.767,65.533,"KYZYLORDA_38062",44.85,65.5,9.5893226687372,"KZ000038062"
"134","BISHKEK",42.85,74.533,"BISHKEK_GSN",42.83,74.58,4.43066560553466,"KG000038353"
"135","YUZHNY",41.258,69.281,"TASHKENT_GSN",41.27,69.2694,1.64939675085525,"UZM00038457"
"136","NUKUS",42.45,59.617,"NUKUS_38264",42.45,59.617,0,"UZM00038264"
"137","DUSHANBE",38.543,68.825,"DUSHANBE_38836",38.5494,68.8,2.28766114924902,"TI000038836"
"138","ASHGABAT",37.987,58.361,"ASHGABAT_38880",37.9667,58.3331,3.32797579179339,"TX000038880"
"139","HEYDARALIYEV",40.468,50.047,"MASHTAGA_37860",40.533,50,8.24813233010442,"AJ000037860"
"140","TBILISI/LOCHINIAIRPORT",41.75,44.767,"KODJORY_37544",41.7,44.7,7.86308534360598,"GG000037544"
"141","ZAHEDANINTL",29.476,60.907,"ZAHEDAN_GSN",29.476,60.907,0,"IR000408560"
"142","MASHHADINTL",36.235,59.641,"MASHHAD_GSN",36.267,59.633,3.62983148476604,"IR000040745"
"143","GORGAN",36.909,54.401,"GORGAN_40738",36.909,54.401,0,"IRM00040738"
"144","MEHRABADINTL",35.689,51.313,"TEHRAN-MEHRABAD_GSN",35.683,51.317,0.758699692720375,"IR000407540"
"145","ESFAHANSHAHIDBEHESHTIINTL",32.751,51.862,"ESFAHAN_SHAHID",32.751,51.862,0,"IRM00040800"
